transaction_id,date,hour,user_id,amount,transaction_type,city,operator,nb_transactions_24h,changement_localisation,appareil_different,is_fraud,fraud_type
TXN00000001,2024-10-11,17,user_776252537,37254.0,transfer,Dakar,Wave,0,0,0,0,normal
TXN00000002,2024-10-08,8,user_764971613,30000.0,payment,Kaolack,Wizall,1,0,0,0,normal
TXN00000003,2024-07-21,15,user_705392248,43449.0,payment,Dakar,Wave,2,1,1,1,agent_complice
TXN00000004,2024-11-08,19,user_754120277,24713.0,payment,Dakar,Wizall,1,0,0,0,normal
TXN00000005,2024-07-09,1,user_752167378,47562.0,transfer,Saint-Louis,Orange Money,0,0,0,0,normal
TXN00000006,2024-12-11,9,user_768344546,21757.0,withdrawal,Dakar,Wave,0,0,0,0,normal
TXN00000007,2024-11-23,17,user_761883138,122092.0,deposit,Dakar,Orange Money,0,0,0,0,normal
TXN00000008,2024-08-09,18,user_778633502,100000.0,withdrawal,Thiès,Wizall,0,0,0,0,normal
TXN00000009,2024-08-10,10,user_789513851,24627.0,transfer,Dakar,Orange Money,2,0,0,0,normal
TXN00000010,2024-09-19,16,user_757555032,42122.0,withdrawal,Ziguinchor,Wave,2,0,0,0,normal
TXN00000011,2024-09-10,12,user_702641955,50000.0,transfer,Thiès,Orange Money,2,0,0,0,normal
TXN00000012,2024-10-09,22,user_701623816,21364.0,withdrawal,Dakar,Orange Money,2,0,0,0,normal
TXN00000013,2024-11-14,16,user_777918793,8449.0,transfer,Dakar,Wave,1,0,0,0,normal
TXN00000014,2024-11-28,14,user_759481156,12182.0,payment,Ziguinchor,Wave,2,0,0,0,normal
TXN00000015,2024-09-24,19,user_787551995,9359.0,payment,Dakar,Wave,1,0,0,0,normal
TXN00000016,2024-09-13,11,user_757492009,19801.0,transfer,Ziguinchor,Orange Money,2,0,0,0,normal
TXN00000017,2024-10-29,17,user_781988408,52715.0,withdrawal,Dakar,Orange Money,2,0,0,0,normal
TXN00000018,2024-08-28,11,user_778617079,12641.0,payment,Dakar,Wizall,1,0,0,0,normal
TXN00000019,2024-08-08,13,user_709229364,26759.0,transfer,Dakar,Wizall,2,0,0,0,normal
TXN00000020,2024-11-03,8,user_768109782,30000.0,payment,Dakar,Wave,2,0,0,0,normal
TXN00000021,2024-10-31,9,user_788741067,69807.0,withdrawal,Saint-Louis,Free Money,0,0,0,0,normal
TXN00000022,2024-11-01,13,user_784642322,14985.0,payment,Dakar,Orange Money,1,0,0,0,normal
TXN00000023,2024-11-24,11,user_704845372,22735.0,transfer,Saint-Louis,Wave,0,0,0,0,normal
TXN00000024,2024-12-25,20,user_774894068,86006.0,withdrawal,Kaolack,Free Money,0,0,0,0,normal
TXN00000025,2024-08-29,10,user_709501735,107783.0,deposit,Dakar,Orange Money,2,0,0,0,normal
TXN00000026,2024-08-17,18,user_774414828,78421.0,withdrawal,Ziguinchor,Free Money,0,0,0,0,normal
TXN00000027,2024-12-11,20,user_774389207,17539.0,payment,Kaolack,Orange Money,0,0,0,0,normal
TXN00000028,2024-09-06,9,user_708119396,9633.0,transfer,Thiès,Free Money,0,0,0,0,normal
TXN00000029,2024-11-05,14,user_784314279,8523.0,transfer,Touba,Orange Money,1,0,0,0,normal
TXN00000030,2024-07-08,15,user_786222352,28315.0,withdrawal,Thiès,Wave,0,0,0,0,normal
TXN00000031,2024-08-30,13,user_771463623,15109.0,payment,Ziguinchor,Wave,0,0,0,0,normal
TXN00000032,2024-07-24,11,user_703554669,17762.0,payment,Touba,Orange Money,0,0,0,0,normal
TXN00000033,2024-12-07,18,user_752689749,30264.0,transfer,Kaolack,Wave,1,0,0,0,normal
TXN00000034,2024-08-01,15,user_775652908,9413.0,transfer,Dakar,Orange Money,0,0,0,0,normal
TXN00000035,2024-11-14,16,user_756208017,50000.0,transfer,Saint-Louis,Wizall,1,0,0,0,normal
TXN00000036,2024-11-12,13,user_784056945,32385.0,withdrawal,Kaolack,Free Money,2,0,0,0,normal
TXN00000037,2024-11-20,11,user_757616992,17294.0,transfer,Thiès,Orange Money,1,0,0,0,normal
TXN00000038,2024-08-27,3,user_787375341,27226.0,transfer,Dakar,Orange Money,0,0,0,0,normal
TXN00000039,2024-07-08,17,user_772321583,14216.0,transfer,Thiès,Wave,2,0,0,0,normal
TXN00000040,2024-12-15,16,user_779063349,121879.0,deposit,Dakar,Free Money,2,0,0,0,normal
TXN00000041,2024-07-19,12,user_777651393,38194.0,transfer,Dakar,Orange Money,1,0,0,0,normal
TXN00000042,2024-10-04,14,user_702010908,100000.0,withdrawal,Dakar,Wizall,2,0,0,0,normal
TXN00000043,2024-09-07,15,user_777829220,14212.0,transfer,Dakar,Orange Money,0,0,0,0,normal
TXN00000044,2024-08-16,4,user_707758294,18857.0,withdrawal,Dakar,Orange Money,0,0,0,0,normal
TXN00000045,2024-08-08,11,user_779871482,10898.0,payment,Ziguinchor,Orange Money,1,0,0,0,normal
TXN00000046,2024-11-24,13,user_704568919,58685.0,withdrawal,Dakar,Orange Money,2,0,0,0,normal
TXN00000047,2024-07-02,2,user_766924756,16700.0,payment,Thiès,Wave,2,0,0,0,normal
TXN00000048,2024-12-18,21,user_766455706,43310.0,transfer,Ziguinchor,Orange Money,0,0,0,0,normal
TXN00000049,2024-07-12,7,user_786072545,31928.0,transfer,Dakar,Free Money,1,0,0,0,normal
TXN00000050,2024-12-09,10,user_772005173,9267.0,payment,Dakar,Wizall,0,0,0,0,normal
